store_id,item_id,volume_tier,model,mae,rmse,wmape,actual_sum,sum_abs_error
CA_1,HOUSEHOLD_2_156,low,sarima,0.3087676148680239,0.5002637942918494,1.4409155360507784,6.0,8.645493216304668
CA_1,HOUSEHOLD_2_156,low,prophet,0.3155966477364632,0.4989186431223728,1.4727843561034948,6.0,8.836706136620968
CA_1,FOODS_3_017,low,sarima,0.2113845923271926,0.3252896144995982,1.972922861720464,3.0,5.918768585161392
CA_1,FOODS_3_017,low,prophet,0.2371405196450786,0.3287312955362356,2.213311516687401,3.0,6.6399345500622005
TX_1,FOODS_3_821,low,sarima,0.6244862768608169,0.9146582365911464,1.2489725537216338,14.0,17.485615752102873
TX_1,FOODS_3_821,low,prophet,0.5657292858946931,0.9336373748310404,1.131458571789386,14.0,15.840420005051406
TX_1,HOBBIES_2_103,low,sarima,0.7000428758446814,0.9538496095419212,1.306746701576739,15.0,19.60120052365108
TX_1,HOBBIES_2_103,low,prophet,0.7139842788340182,0.9517948513635114,1.332770653823501,15.0,19.99155980735251
CA_1,HOUSEHOLD_2_480,low,sarima,0.4686728649892458,0.5270566036849431,1.6403550274623604,8.0,13.122840219698883
CA_1,HOUSEHOLD_2_480,low,prophet,0.385894279205846,0.5376569314418047,1.350629977220461,8.0,10.805039817763689
TX_1,FOODS_2_132,low,sarima,0.341662774169246,0.5229290176497209,1.1958197095923613,8.0,9.566557676738888
TX_1,FOODS_2_132,low,prophet,0.3353155763245664,0.5268644889585787,1.1736045171359826,8.0,9.388836137087859
CA_1,HOUSEHOLD_2_121,low,sarima,0.0228495883049995,0.0404033153315213,inf,0.0,0.6397884725399859
CA_1,HOUSEHOLD_2_121,low,prophet,0.0180399756450707,0.0340698102350408,inf,0.0,0.5051193180619796
TX_1,HOBBIES_1_332,low,sarima,0.3787343923429513,0.4304577036580962,1.7674271642671062,6.0,10.604562985602637
TX_1,HOBBIES_1_332,low,prophet,0.3810650196269379,0.4308312793681927,1.7783034249257106,6.0,10.669820549554261
TX_1,FOODS_3_796,low,sarima,0.4297571464389368,0.4439905680310764,3.0083000250725576,4.0,12.03320010029023
TX_1,FOODS_3_796,low,prophet,0.4158297862334477,0.4326859837458083,2.910808503634134,4.0,11.643234014536535
CA_1,HOBBIES_1_279,low,sarima,1.0021613054156242,1.2182503766935069,0.967604019021982,29.0,28.060516551637477
CA_1,HOBBIES_1_279,low,prophet,1.0783540744751912,1.2779698773553798,1.041169451217426,29.0,30.19391408530535
TX_1,FOODS_3_111,low,sarima,0.6607302609663847,0.736620056692549,1.233363153803918,15.0,18.50044730705877
TX_1,FOODS_3_111,low,prophet,0.6065429464674786,0.7805259013125477,1.1322135000726268,15.0,16.9832025010894
TX_1,FOODS_3_640,low,sarima,0.8411529841798228,1.080863698898183,1.3854284445314726,17.0,23.552283557035036
TX_1,FOODS_3_640,low,prophet,0.8084043924641592,1.0799690496709795,1.3314895875880268,17.0,22.635322988996457
TX_1,FOODS_3_549,low,sarima,0.2152955375145326,0.3176251084973585,2.009425016802304,3.0,6.028275050406912
TX_1,FOODS_3_549,low,prophet,0.2801858778039907,0.3352610008089725,2.615068192837246,3.0,7.845204578511739
CA_1,FOODS_2_168,low,sarima,0.4903777698424705,0.5651615742755054,1.9615110793698824,7.0,13.730577555589175
CA_1,FOODS_2_168,low,prophet,0.5028576229517474,0.5704214009936932,2.0114304918069896,7.0,14.080013442648927
TX_1,FOODS_3_471,low,sarima,0.4572328803496473,0.6520685732660939,1.6003150812237656,8.0,12.802520649790125
TX_1,FOODS_3_471,low,prophet,0.4941316606323501,0.6651178074497116,1.7294608122132251,8.0,13.835686497705803
CA_1,HOBBIES_1_082,low,sarima,0.2961361448598486,0.50316841665568,1.3819686760126269,6.0,8.291812056075761
CA_1,HOBBIES_1_082,low,prophet,0.2955204445068572,0.5041494230845597,1.379095407698667,6.0,8.274572446192002
TX_1,HOUSEHOLD_1_523,low,sarima,0.4484973761782624,0.5388840487084297,1.395325170332372,9.0,12.557926532991347
TX_1,HOUSEHOLD_1_523,low,prophet,0.4487340345795444,0.5426127815484745,1.3960614409141383,9.0,12.564552968227243
CA_1,HOUSEHOLD_1_076,low,sarima,0.6340351596538314,0.7225597564160802,0.986276915017071,18.0,17.75298447030728
CA_1,HOUSEHOLD_1_076,low,prophet,0.6325782209725335,0.7200739448100618,0.9840105659572744,18.0,17.712190187230938
TX_1,HOUSEHOLD_2_283,low,sarima,0.3802162582282647,0.4081449433734632,2.1292110460782827,5.0,10.646055230391411
TX_1,HOUSEHOLD_2_283,low,prophet,0.2070604577475522,0.4105050615136424,1.159538563386293,5.0,5.797692816931462
CA_1,FOODS_3_256,low,sarima,0.2094690350430328,0.314822406619082,1.9550443270683069,3.0,5.865132981204918
CA_1,FOODS_3_256,low,prophet,0.2034109782816096,0.3113303858127579,1.8985024639616903,3.0,5.6955073918850685
CA_1,HOUSEHOLD_2_503,low,sarima,0.0618259950669297,0.1912137924670741,1.7311278618740336,1.0,1.7311278618740316
CA_1,HOUSEHOLD_2_503,low,prophet,0.0634826358967654,0.1921583601224526,1.777513805109433,1.0,1.777513805109431
CA_1,HOUSEHOLD_2_323,low,sarima,0.2349069868667401,0.5303929189541406,1.0962326053781206,6.0,6.577395632268723
CA_1,HOUSEHOLD_2_323,low,prophet,0.3266952690209838,0.506093829862437,1.5245779220979243,6.0,9.147467532587546
TX_1,HOUSEHOLD_2_077,low,sarima,0.136587132267727,0.2657715512220198,1.9122198517481783,2.0,3.824439703496356
TX_1,HOUSEHOLD_2_077,low,prophet,0.1352990102452189,0.2667938975802255,1.894186143433065,2.0,3.788372286866129
TX_1,FOODS_3_673,low,sarima,0.3541590082542848,0.4172462900420206,1.6527420385199958,6.0,9.916452231119974
TX_1,FOODS_3_673,low,prophet,0.4698478908549375,0.4738498343281357,2.192623490656375,6.0,13.15574094393825
TX_1,HOUSEHOLD_2_216,low,sarima,0.0663527938467028,0.1958371011104815,1.85787822770768,1.0,1.8578782277076784
TX_1,HOUSEHOLD_2_216,low,prophet,0.0480775995664196,0.1911500844864426,1.3461727878597514,1.0,1.3461727878597487
TX_1,HOBBIES_2_052,low,sarima,0.0825099652084949,0.1905577811804961,2.3102790258378585,1.0,2.3102790258378576
TX_1,HOBBIES_2_052,low,prophet,0.1333736480451074,0.2067558099558855,3.734462145263009,1.0,3.734462145263007
CA_1,HOBBIES_2_132,low,sarima,0.8478768946648608,1.011642004858932,2.637839227846234,9.0,23.740553050616104
CA_1,HOBBIES_2_132,low,prophet,0.8502992915912919,1.036730174708664,2.6453755738395746,9.0,23.808380164556173
TX_1,HOUSEHOLD_2_261,low,sarima,0.3802072062444019,0.509162970606595,1.520828824977608,7.0,10.645801774843253
TX_1,HOUSEHOLD_2_261,low,prophet,0.3444515711426281,0.5138396582067185,1.3778062845705124,7.0,9.644643991993586
TX_1,FOODS_2_383,low,sarima,0.921333875203408,1.2067991192637038,1.228445166937877,21.0,25.797348505695425
