date,units_sold
2011-01-29,6893.0
2011-01-30,6842.0
2011-01-31,4638.0
2011-02-01,5309.0
2011-02-02,4324.0
2011-02-03,6010.0
2011-02-04,5141.0
2011-02-05,8257.0
2011-02-06,7227.0
2011-02-07,5331.0
2011-02-08,4602.0
2011-02-09,4859.0
2011-02-10,4823.0
2011-02-11,5334.0
2011-02-12,7260.0
2011-02-13,7786.0
2011-02-14,4678.0
2011-02-15,4647.0
2011-02-16,4234.0
2011-02-17,3830.0
2011-02-18,4966.0
2011-02-19,7124.0
2011-02-20,6776.0
2011-02-21,5335.0
2011-02-22,4374.0
2011-02-23,4100.0
2011-02-24,4239.0
2011-02-25,4587.0
2011-02-26,6348.0
2011-02-27,6236.0
2011-02-28,4231.0
2011-03-01,4516.0
2011-03-02,4419.0
2011-03-03,4620.0
2011-03-04,4731.0
2011-03-05,6738.0
2011-03-06,7863.0
2011-03-07,5410.0
2011-03-08,4785.0
2011-03-09,4952.0
2011-03-10,4429.0
2011-03-11,5322.0
2011-03-12,6914.0
2011-03-13,6831.0
2011-03-14,5157.0
2011-03-15,4998.0
2011-03-16,4509.0
2011-03-17,4552.0
2011-03-18,4865.0
2011-03-19,6565.0
2011-03-20,6573.0
2011-03-21,4709.0
2011-03-22,4316.0
2011-03-23,3859.0
2011-03-24,4140.0
2011-03-25,4722.0
2011-03-26,6291.0
2011-03-27,6816.0
2011-03-28,4572.0
2011-03-29,3872.0
2011-03-30,3953.0
2011-03-31,4359.0
2011-04-01,6198.0
2011-04-02,7106.0
2011-04-03,7315.0
2011-04-04,5639.0
2011-04-05,4903.0
2011-04-06,4568.0
2011-04-07,5107.0
2011-04-08,5403.0
2011-04-09,7007.0
2011-04-10,7251.0
2011-04-11,5309.0
2011-04-12,4672.0
2011-04-13,4542.0
2011-04-14,4379.0
2011-04-15,5269.0
2011-04-16,6091.0
2011-04-17,6761.0
2011-04-18,4779.0
2011-04-19,4061.0
2011-04-20,4174.0
2011-04-21,4231.0
2011-04-22,5269.0
2011-04-23,6491.0
2011-04-24,5397.0
2011-04-25,4271.0
2011-04-26,3862.0
2011-04-27,3749.0
2011-04-28,3524.0
2011-04-29,4523.0
2011-04-30,6137.0
2011-05-01,6721.0
2011-05-02,4768.0
2011-05-03,4964.0
2011-05-04,4289.0
2011-05-05,4442.0
2011-05-06,6064.0
2011-05-07,6681.0
2011-05-08,5445.0
2011-05-09,5551.0
2011-05-10,5163.0
2011-05-11,4586.0
2011-05-12,4370.0
2011-05-13,5589.0
2011-05-14,6344.0
2011-05-15,6958.0
2011-05-16,4830.0
2011-05-17,4100.0
2011-05-18,3880.0
2011-05-19,3859.0
2011-05-20,4718.0
2011-05-21,5970.0
2011-05-22,6069.0
2011-05-23,4350.0
2011-05-24,3793.0
2011-05-25,4060.0
