fold,model,mae,rmse,wmape,n_train,n_test
0,linear_regression,0.901508927345276,1.8887060846743435,0.76026046,8561904,170650
0,decision_tree,0.8741735816001892,1.809808113295966,0.73720795,8561904,170650
0,random_forest,0.8676174879074097,1.7800879452442666,0.7316791,8561904,170650
0,xgboost,0.8714651465415955,1.7779242269806568,0.7349239,8561904,170650
0,lightgbm,0.8714904189109802,1.7779442747285183,0.73494524,8561904,170650
1,linear_regression,0.9348974227905272,1.9099321292382376,0.74738204,8732554,170704
1,decision_tree,0.9082906246185304,1.872379378952569,0.7261119,8732554,170704
1,random_forest,0.9033194780349731,1.8522995395283568,0.7221378,8732554,170704
1,xgboost,0.9061622023582458,1.8429235772211665,0.72441036,8732554,170704
1,lightgbm,0.9065572619438172,1.8447551896724963,0.72472614,8732554,170704
2,linear_regression,0.9462652802467346,1.8827521603361304,0.7414546,8903258,170732
2,decision_tree,0.9154834747314452,1.8148085920431896,0.7173352,8903258,170732
2,random_forest,0.9107578992843628,1.7981137856832192,0.71363246,8903258,170732
2,xgboost,0.914214849472046,1.798445902257095,0.7163412,8903258,170732
2,lightgbm,0.9141167402267456,1.801659094941317,0.7162643,8903258,170732
3,linear_regression,0.9590238332748412,1.8863676704121268,0.74184215,9073990,170744
3,decision_tree,0.929440140724182,1.852786018026629,0.718958,9073990,170744
3,random_forest,0.923841118812561,1.8237974019260184,0.71462697,9073990,170744
3,xgboost,0.9278810024261476,1.8204339768638915,0.717752,9073990,170744
3,lightgbm,0.9270285367965698,1.8205417603289644,0.7170926,9073990,170744
4,linear_regression,0.9867390990257264,1.8986759742435455,0.72757643,9244734,170744
4,decision_tree,0.9626003503799438,1.848747785875131,0.7097776,9244734,170744
4,random_forest,0.9566296935081482,1.8254802516139672,0.70537513,9244734,170744
4,xgboost,0.9583532214164734,1.8255879983413863,0.70664597,9244734,170744
4,lightgbm,0.9588043689727784,1.8278055156405404,0.7069786,9244734,170744
